snapshot,10,18:13:08,0:00:00.129876
create,10,18:13:08,0:00:00.123336
save,10,18:13:08,0:00:00.130951
persist,10,18:13:08,0:00:00.093684
apply,10,18:13:08,0:00:00.230140
apply1,10,18:13:08,0:00:00.130725
v.apply,10,18:13:13,0:00:00.150519
snapshot,100,18:17:16,0:00:00.123009
create,100,18:17:16,0:00:00.136609
save,100,18:17:16,0:00:00.145567
persist,100,18:17:16,0:00:00.102843
apply,100,18:17:16,0:00:01.088020
apply1,100,18:17:16,0:00:00.133093
v.apply,100,18:17:23,0:00:00.157582
snapshot,1000,18:21:30,0:00:00.117482
create,1000,18:21:30,0:00:00.233739
save,1000,18:21:30,0:00:00.262065
persist,1000,18:21:30,0:00:00.140017
apply,1000,18:21:30,0:00:08.806950
apply1,1000,18:21:30,0:00:00.146242
v.apply,1000,18:21:44,0:00:00.173466
snapshot,10000,18:25:44,0:00:00.122598
create,10000,18:25:44,0:00:01.031601
save,10000,18:25:44,0:00:01.197673
persist,10000,18:25:44,0:00:00.400758
apply,10000,18:25:44,0:01:25.386416
apply1,10000,18:25:44,0:00:00.131252
v.apply,10000,18:27:19,0:00:00.269880
snapshot,100000,18:31:21,0:00:00.124022
create,100000,18:31:21,0:00:08.813575
save,100000,18:31:21,0:00:10.547393
persist,100000,18:31:21,0:00:12.379563
apply,100000,18:31:21,0:13:24.076253
apply1,100000,18:31:21,0:00:00.133609
v.apply,100000,18:45:34,0:00:01.106158
snapshot,1000000,18:49:47,0:00:00.122973
create,1000000,18:49:47,0:01:25.777120
save,1000000,18:49:47,0:01:42.944828
persist,1000000,18:49:47,0:01:50.678380
apply,1000000,18:49:47,2:17:03.629866
apply1,1000000,18:49:47,0:00:01.163029
